DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164,b165,b166,b167,b168,b169,b170,b171,b172,b173,b174,b175,b176,b177,b178,b179,b180,b181,b182,b183,b184,b185,b186,b187,b188,b189,b190,b191,b192,b193,b194,b195,b196,b197,b198,b199
1688692464.484,4464.4844,3,0,476,476,161.14,2468,2514,15.09,17.60,978.17,29.76,341.70,20.43,43.94,2.95,292.31,38.71,604.40,1005.27,24.66,11.36,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,2,7,1,6,1,8,2,2,1,0,1,4,1,3,0,2,1,0,3,2,3,3,1,2,3,3,2,0,3,3,0,2,2,4,3,0,4,3,5,1,2,1,1,1,3,1,3,1,0,0,2,0,0,1,2,3,0,1,1,1,1,1,1,1,3,0,3,1,1,1,2,2,1,2,4,2,2,2,3,4,1,2,2,1,3,1,2,0,0,1,0,0,1,1,1,0,0,1,1,1,2,2,3,3,8,13,18,25,24,34,21,28,39,26,20,9,4,2,0,1,0,0,1,0,0,2,1,1,5,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692465.484,4465.4844,3,0,456,456,151.94,2471,2516,14.94,17.61,978.10,29.78,341.70,20.49,41.20,3.00,293.19,38.71,607.47,1004.84,24.63,11.36,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,1,0,0,2,0,0,2,2,1,4,1,0,3,0,1,0,1,1,1,1,4,1,2,0,2,3,5,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,4,2,4,2,1,3,0,0,0,2,1,2,1,5,0,0,0,1,0,4,2,2,1,1,1,3,1,1,2,4,2,1,6,8,4,6,5,4,1,4,1,2,4,1,0,3,1,0,0,0,3,0,0,0,1,0,0,1,0,3,4,10,14,16,29,16,32,24,25,24,13,16,12,6,2,2,1,0,0,1,0,4,3,5,4,2,1,0,0,2,0,2,1,2,3,1,1,0,1,2,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692466.485,4466.4846,3,0,465,465,158.12,2471,2515,14.73,17.71,978.22,29.80,341.70,20.53,45.07,2.94,298.90,38.69,606.15,1004.84,24.60,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,1,0,0,0,0,2,1,3,1,0,2,3,3,3,1,3,2,3,1,2,0,1,1,1,2,0,4,2,1,1,1,1,3,0,1,5,0,4,1,1,4,2,2,2,1,5,2,0,3,1,1,3,2,1,2,0,1,0,0,0,2,3,1,3,1,2,2,3,1,3,1,1,1,2,2,0,5,1,5,2,1,3,2,4,1,2,3,2,2,0,0,0,1,1,0,2,0,0,0,0,2,2,6,1,8,11,20,13,24,34,23,29,39,24,20,12,5,1,1,0,0,1,2,0,1,3,1,2,0,1,3,4,0,2,1,0,3,0,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692467.484,4467.4844,3,0,474,474,158.35,2469,2515,15.44,17.45,978.15,29.82,341.70,20.92,44.89,2.99,292.31,38.63,604.84,1003.08,24.26,11.36,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,1,1,1,2,1,1,0,1,2,1,3,2,1,3,1,3,3,2,3,0,1,1,7,3,1,2,2,4,0,1,0,1,1,0,2,2,3,2,2,2,1,2,0,1,1,1,5,3,1,1,1,0,1,4,1,1,1,1,2,0,0,0,4,3,2,4,4,0,2,2,1,1,3,1,1,1,3,2,3,2,1,3,4,3,0,2,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,2,3,2,7,16,14,28,23,32,33,30,31,28,22,9,5,0,1,0,0,0,2,2,1,1,3,1,1,1,3,2,1,3,3,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692468.485,4468.4846,3,0,442,442,147.40,2472,2512,13.47,17.86,978.16,29.83,341.70,21.33,44.45,3.00,293.63,38.65,606.59,1003.08,24.63,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,1,0,0,0,0,1,3,1,1,2,1,1,2,3,1,0,1,2,1,2,1,4,1,3,1,0,5,0,4,1,5,1,2,1,4,3,2,2,1,3,0,3,1,3,1,1,1,1,0,1,0,1,5,2,1,1,0,0,0,1,2,0,0,3,0,2,2,3,4,3,2,1,1,2,2,3,1,0,1,2,3,2,2,3,4,2,3,1,2,0,1,0,1,3,0,0,1,0,1,2,2,0,3,2,3,4,10,7,18,15,25,27,32,28,17,19,20,15,3,0,2,0,0,2,1,0,1,3,1,2,3,4,0,1,2,1,3,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692469.485,4469.4846,3,0,457,457,154.02,2471,2513,13.97,17.74,978.20,29.84,341.70,21.75,46.30,2.97,294.07,38.65,607.47,1004.84,25.20,11.36,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,0,1,2,1,0,3,2,0,3,3,0,1,4,2,4,3,0,3,2,3,1,1,1,0,1,1,1,2,2,1,1,2,5,0,0,2,0,6,3,1,1,1,0,1,4,2,0,0,7,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,1,1,0,1,0,3,0,2,0,1,1,7,3,6,1,1,0,2,4,3,0,1,0,3,0,1,1,0,0,0,0,0,1,1,0,1,2,1,4,7,12,17,30,29,22,29,25,30,24,16,10,7,1,0,3,2,0,1,2,5,1,0,4,0,4,1,4,1,2,3,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692470.484,4470.4841,3,0,432,432,143.56,2470,2516,15.47,18.10,978.18,29.85,341.70,20.73,44.11,3.01,297.14,38.63,607.91,1004.84,24.60,11.33,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,1,1,2,0,1,3,0,1,0,2,1,2,1,4,1,1,4,0,1,0,2,1,0,2,0,1,3,1,1,2,1,3,0,0,0,2,2,0,4,8,0,2,1,1,0,1,0,1,0,2,0,2,5,0,2,0,0,1,2,0,4,2,0,1,1,2,2,2,2,1,3,8,0,0,4,5,1,2,0,2,2,3,2,3,2,1,2,0,0,1,1,1,0,0,1,0,0,1,0,2,1,1,4,4,2,15,16,23,25,33,24,24,30,16,24,14,1,0,1,0,1,2,0,0,1,2,0,1,3,2,0,2,0,2,2,0,1,0,3,0,1,2,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692471.484,4471.4844,3,0,437,437,145.48,2468,2513,15.00,17.61,978.14,29.87,341.70,21.47,46.39,3.00,294.07,38.63,605.71,1004.40,24.63,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,1,0,0,0,2,2,1,1,0,5,1,1,1,0,2,3,2,2,0,3,3,0,1,1,1,0,2,0,0,2,1,0,1,2,3,5,1,1,1,4,2,3,2,1,1,0,3,1,0,2,2,2,0,1,1,1,3,2,2,3,2,2,1,1,2,3,1,1,1,3,1,1,0,4,2,2,1,5,2,3,1,1,1,3,0,3,0,3,0,1,1,2,1,1,0,0,1,0,1,0,0,1,1,1,6,3,9,12,22,25,35,29,32,23,25,17,11,4,4,0,0,2,1,0,3,3,5,1,2,1,1,3,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692472.485,4472.4846,3,0,471,471,160.16,2472,2518,15.38,17.31,978.11,29.89,341.70,21.06,44.60,2.94,294.07,38.67,607.91,1003.96,24.66,11.37,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,0,0,0,0,2,0,1,1,3,0,2,1,1,2,0,2,3,0,0,0,1,2,2,0,5,1,0,1,2,5,2,0,3,4,0,1,0,0,2,3,3,2,1,0,0,0,0,4,0,1,2,2,5,2,1,3,3,2,1,2,3,2,3,1,2,0,1,1,3,1,1,1,3,1,1,0,2,2,1,2,3,4,3,0,1,1,3,2,4,1,1,1,1,1,2,2,0,1,0,1,2,0,3,0,3,4,5,11,9,19,21,23,36,34,22,23,23,20,12,2,3,1,1,0,3,1,0,3,3,2,4,2,3,2,3,4,2,0,4,1,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688692473.484,4473.4843,3,0,441,441,148.76,2471,2518,15.49,18.18,978.16,29.91,341.70,21.69,46.11,2.96,292.31,38.65,607.91,1004.84,24.63,11.28,2.87,2.65,30000,3.0,200,1.75,4.81,0,8,255,512,1,1,0,0,1,1,1,1,1,2,1,1,0,1,2,0,2,0,1,7,2,4,1,0,3,3,2,0,5,5,4,0,2,2,1,0,6,1,1,1,0,5,3,3,2,2,1,0,3,2,2,2,2,0,6,1,0,0,2,1,3,0,0,0,2,1,2,3,4,0,0,2,2,2,2,0,3,4,3,2,3,4,3,1,5,3,2,1,2,0,2,2,0,0,0,0,1,1,1,0,0,1,0,1,1,2,3,10,9,13,27,15,30,29,21,19,22,21,10,3,1,0,1,2,1,1,2,2,1,2,2,1,1,3,0,2,1,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
