d_nm,d,amp
102.782685284113,102.782685284113,17.419697640373997
109.00646212994737,109.00646212994737,19.615739475673173
115.60888228630776,115.60888228630776,22.658265007955855
122.60932095705668,122.60932095705668,26.821533437453148
130.03565363703578,130.03565363703578,32.46444383566223
138.4523849155525,138.4523849155525,40.559320204057244
147.9917396568458,147.9917396568458,52.085014422004456
158.81086855182113,158.81086855182113,68.24517324797108
171.0915960933419,171.0915960933419,90.33339841221958
185.7698417361743,185.7698417361743,121.27691588528245
203.2980284645286,203.2980284645286,164.1607414253931
224.2276675191965,224.2276675191965,224.72734211961307
254.1939392285632,254.1939392285632,318.256360618509
308.0242372956239,308.0242372956239,408.9331739937623
395.8556747702221,395.8556747702221,609.5793868370276
485.3559548057441,485.3559548057441,820.8119487317889
554.5505035196938,554.5505035196938,1195.6684896940455
633.6097412815886,633.6097412815886,1660.9598728490148
782.9789425604838,782.9789425604838,2177.8549719055377
1079.8037020966835,1079.8037020966835,2989.7141909772463
1387.7038601434083,1387.7038601434083,4358.567411821108
1655.3899862739704,1655.3899862739704,6153.864664269653
1990.2850174246441,1990.2850174246441,8552.896679087273
2478.838655058672,2478.838655058672,11429.879366889718
2876.990981917955,2876.990981917955,16252.812515145835
3432.063969561189,3432.063969561189,22736.309951910644
4191.471108469482,4191.471108469482,31487.228496333926
4770.254031984474,4770.254031984474,42560.339342281026
